steps,return
33,1593.823755555556
36,1578.2727777777777
39,1595.3202611111108
42,1578.6357500000004
45,1592.6893833333334
48,1577.0059388888887
51,1590.2047000000002
54,1580.7671277777781
57,1590.2676111111116
60,1584.0348666666666
63,1594.030983333333
66,1593.5330833333335
69,1595.1165666666661
72,1592.7841611111114
75,1592.0737166666665
78,1594.7042999999999
81,1590.5314611111107
84,1589.472072222222
87,1584.4208111111113
90,1579.6073333333336
93,1579.878538888889
96,1564.6014111111112
99,1571.2942611111114
102,1559.7983222222226
105,1568.9728555555557
108,1551.5428000000004
111,1562.907511111111
114,1541.8488055555554
117,1564.1736000000003
120,1544.627083333334
