steps,return
42,1002.5813222222218
45,997.2484555555558
48,1004.2500777777778
51,1044.4568444444444
54,1010.6151999999997
57,1013.5389888888889
60,1031.0160777777774
63,1053.3244666666665
66,1083.3038000000001
69,1067.043855555556
72,1071.5377777777776
75,1076.3522222222225
78,1064.9319777777775
81,1068.3309444444444
84,1067.9290666666668
87,1031.2012999999997
90,1035.5379888888888
93,1042.3587222222222
96,1032.0194000000001
99,1039.2038666666667
102,1038.1261666666664
105,1039.8141888888888
108,1031.0355222222224
111,1028.8147777777783
114,1034.6590222222223
117,1027.9573666666665
120,1033.556322222222
123,1032.9579222222226
126,1030.2433555555556
129,1035.5898111111107
132,1036.7586444444444
135,1025.2495777777776
138,1035.314311111111
141,1028.4451000000004
144,1023.7978666666669
147,1025.809666666667
150,1029.062588888889
153,1021.2744444444446
156,1005.5520000000005
159,1014.6717666666669
162,1019.4261444444443
