steps,return
12,1116.6184166666674
15,974.9319999999994
18,1135.9320500000001
21,932.6531333333332
24,957.508016666667
27,969.8770499999999
30,1228.1354499999998
33,936.2759333333333
36,927.0699500000002
39,997.8004166666668
42,1208.0268500000002
45,1291.6646833333332
48,1310.3824166666664
51,1318.9002500000004
54,1278.2158333333332
57,1296.5468166666662
60,1291.6481833333337
63,1276.3454000000004
66,1263.9227166666667
69,1281.8685833333336
72,1278.7611833333333
75,1290.2246
78,1297.8125999999997
81,1295.6344333333327
84,1287.5719
87,1296.0833833333338
90,1254.9437500000004
93,1223.356566666666
96,1261.5176499999995
99,1183.5429833333335
102,1244.2456833333335
105,1234.371816666666
108,1243.1101333333334
111,1222.6640499999999
114,1260.8769000000007
117,1242.466966666667
120,1272.8317833333335
123,1232.0388500000004
126,1267.9871666666666
129,1256.3723166666662
132,1292.8308000000006
135,1285.0927
138,1289.3718333333338
141,1228.3148999999996
