steps,return
21,1216.1040222222223
24,1272.6268111111115
27,1264.8891333333336
30,1220.0601222222222
33,1152.6448666666665
36,1157.6044111111107
39,1164.8365777777778
42,1210.0565999999997
45,1195.547377777778
48,1265.6081777777779
51,1225.2837333333332
54,1214.3153222222227
57,1200.9122555555557
60,1301.6804111111107
63,1212.401177777778
66,1298.7600000000002
69,1233.5980888888892
72,1288.6528111111106
75,1213.8839333333335
78,1351.3890555555558
81,1320.558177777778
84,1447.5295222222223
87,1383.0306555555558
90,1445.776422222222
93,1327.2604666666666
96,1379.3406111111115
99,1353.4880888888886
102,1439.5223555555558
105,1314.3807222222222
108,1426.7022111111112
111,1317.605222222222
114,1340.705477777778
117,1301.2389555555555
120,1342.8940222222218
123,1323.5263999999997
126,1358.8429111111113
129,1342.554911111112
132,1350.4473888888895
135,1294.2345999999998
138,1390.0528222222217
141,1344.818977777778
144,1437.6148444444445
147,1351.3595
150,1387.4741333333334
153,1322.6830222222225
