steps,return
12,1262.805855555556
15,1273.223944444444
18,1276.9063111111118
21,1278.864811111111
24,1295.6845666666666
27,1296.8260444444443
30,1304.8389333333334
33,1297.7474444444447
36,1301.7048999999997
39,1302.602577777778
42,1303.0009
45,1305.7052999999994
48,1311.3834222222222
51,1307.448711111111
54,1304.915688888889
57,1307.7282999999998
60,1310.738955555555
63,1310.9017333333336
66,1336.6919444444445
69,1339.6318999999999
72,1305.8000333333334
75,1307.3709222222226
78,1290.470355555556
81,1292.9681000000003
84,1285.0855777777774
87,1290.8057222222224
90,1288.2436666666663
93,1308.3022555555551
96,1286.4775777777772
99,1309.1308444444448
102,1287.4688000000003
105,1291.3377111111108
108,1292.5189
111,1277.8965222222223
114,1280.6726333333336
117,1285.0503777777785
120,1281.071888888889
123,1279.2612666666666
126,1311.9236555555556
129,1342.4410777777782
132,1329.0051222222226
135,1329.8552000000002
138,1340.3972666666668
141,1334.507188888888
144,1301.6101777777776
147,1341.1235888888887
150,1317.1191555555556
153,1346.386733333333
156,1307.390088888889
159,1344.7022222222222
162,1339.1733999999994
165,1341.7410444444442
168,1329.7327888888885
171,1344.4623777777776
174,1343.9877333333334
177,1343.2096444444444
180,1343.7187333333334
183,1338.1744777777776
186,1343.1515000000002
189,1338.194977777778
192,1315.0828222222224
195,1337.747288888889
