steps,return
30,1283.515316666667
33,1133.2143999999998
36,1236.3967833333338
39,1312.3523166666669
42,1307.5278000000003
45,1318.1382833333334
48,1322.5657666666666
51,1347.1215833333329
54,1349.3502666666666
57,1336.9174333333333
60,1332.5332666666661
63,1336.959066666667
66,1318.8680999999997
69,1294.015333333333
72,1280.4775666666665
75,1264.2475833333342
78,1238.0469500000002
81,1230.3204999999998
84,1224.3267166666665
87,1226.6759333333332
90,1206.0302833333337
93,1222.5000166666669
96,1211.7897833333332
99,1193.0396833333336
102,1171.0137166666666
105,1198.3623833333334
108,1087.97915
111,1166.994233333333
114,1135.3764499999997
117,1133.8349333333335
120,1101.6750833333333
123,1074.2959666666668
126,1123.799233333333
129,1080.250233333333
132,1196.3888999999997
135,1138.8890166666665
138,1210.4295000000002
141,1129.6318499999993
144,1190.8882833333334
147,1174.38085
150,1126.8273499999998
153,1184.6932
156,1178.4541166666666
159,1147.4994166666668
162,1167.5397166666664
