steps,return
12,1186.1633666666667
15,1257.467577777778
18,1153.4021777777775
21,1199.0060333333338
24,1158.0885000000003
27,1182.746277777778
30,1236.0733111111113
33,1227.6553777777779
36,1135.5244888888892
39,1159.7269999999999
42,1170.1331222222225
45,1170.7493444444442
48,1187.0316000000005
51,1185.9961222222223
54,1176.5879777777777
57,1204.5843555555555
60,1128.9643555555554
63,1202.8963333333334
66,1158.9957888888887
69,1169.9208999999998
72,1154.3307111111103
75,1245.2889777777777
78,1167.392633333333
81,1184.9327222222225
84,1132.418288888889
87,1200.593888888889
90,1177.1378888888885
93,1211.6189111111107
96,1057.7746222222222
99,1193.7158555555557
102,1070.0462
105,1161.2401444444447
108,932.2941777777778
111,1168.6114888888894
114,1056.7953888888885
117,1170.706777777778
120,921.4657444444446
123,1095.315077777778
126,933.1452222222225
129,1162.4250666666667
