steps,return
21,1182.930488888889
24,1193.2157111111114
27,1200.510966666667
30,1203.7050555555554
33,1211.8585444444445
36,1207.7281222222218
39,1223.3180555555557
42,1213.6343333333334
45,1216.4568222222222
48,1211.2123111111114
51,1207.3844000000001
54,1203.2580888888888
57,1206.258
60,1202.8674777777771
63,1196.977322222222
66,1187.8075222222224
69,1194.6547666666672
72,1188.856355555556
75,1189.3233777777775
78,1184.8843666666671
81,1188.4220444444445
84,1182.3759666666663
87,1182.8292888888889
90,1181.7346444444443
93,1188.1676777777773
96,1190.4111777777778
99,1191.119377777778
102,1187.3667333333335
105,1187.0055888888885
