steps,return
60,547.6165104166665
63,542.0535604166669
66,553.5463687499999
69,554.7718270833335
72,554.2698812499999
75,563.7400979166667
78,562.4586375
81,579.4245270833331
84,576.9349291666666
87,592.2680124999999
90,601.2728145833333
93,601.4741937499999
96,614.7088958333333
99,614.3826562500001
102,623.4265770833334
105,625.0461083333333
108,635.9406687500001
111,640.2034500000001
114,649.3665812500002
117,659.5513479166666
120,662.5648520833332
123,670.8393916666668
126,670.1543166666667
129,673.4711708333331
132,677.2336
135,681.9215312499998
138,680.87233125
141,684.8679541666667
144,686.3278437499999
147,687.7269104166667
150,686.7300875000001
153,686.3621625000001
156,686.7389729166666
159,689.4668791666664
162,689.2247833333332
165,694.6782708333335
